ASSET_UID,TYPE,Mobile,DESCRIPTION OF EQUIPMENT,Manufacturer,Model,Manufacturer's Serial No./Other Identifier,Firmware Version,ACQUISITION DATE,ORIGINAL COST,comments
N00255,Platform,0,MOORING MESCALE FLANKING B SP,WHOI,GP03FLMB,GP03FLMB-00003,,,2150308.47,
N00256,Platform,0,MOORING SOUTHERN OS,WHOI,GS01SUMO,GS01SUMO-00001,,,,
N00257,Platform,0,HYBRID PROFILER SOUTHERN,WHOI,HYBRID,GS02HYPM-00001,,,698400,
N00258,Platform,0,MOORING MESCALE FLANKING A SOUTHERN,WHOI,GS03FLMA,GS03FLMA-00001,,,35611.94,
N00259,Platform,0,MOORING MESCALE FLANKING B SOUTHERN,WHOI,GS03FLMB,GS03FLMB-00001,,,2150308.47,
N00260,Platform,0,MOORING ENDURANCE OR LP,WHOI,CE01ISSM,CE01ISSM-00003,,,318785.53,
N00261,Platform,0,MOORING ENDURANCE OR LP,WHOI,CE01ISSM,CE01ISSM-00004,,,318785.53,
N00262,Platform,0,MOORING ENDURANCE IS PROFILER,WHOI,CE01ISSP,CE01ISSP-00001,,,,
N00263,Platform,0,MOORING ENDURANCE IS PROFILER,WHOI,CE01ISSP,CE01ISSP-00002,,,,
N00264,Platform,0,MOORING ENDURANCE IS PROFILER,WHOI,CE01ISSP,CE01ISSP-00003,,,,
N00265,Platform,0,MOORING ENDURANCE IS PROFILER,WHOI,CE01ISSP,CE01ISSP-00004,,,,
N00266,Platform,0,MOORING ENDURANCE OS PROFILER,WHOI,CE02SHSM,CE02SHSM-00002,,,,
N00267,Platform,0,MOORING ENDURANCE OR LP,WHOI,CE06ISSM,CE06ISSM-00003,,,327912.39,
N00268,Platform,0,MOORING ENDURANCE IS PROFILER,WHOI,CE06ISSP,CE06ISSP-00001,,,,
N00269,Platform,0,MOORING ENDURANCE IS PROFILER,WHOI,CE06ISSP,CE06ISSP-00002,,,,
N00270,Platform,0,MOORING ENDURANCE IS PROFILER,WHOI,CE06ISSP,CE06ISSP-00003,,,,
N00271,Platform,0,MOORING ENDURANCE OS PROFILER,WHOI,CE07SHSM,CE07SHSM-00002,,,,
N00272,Platform,0,MOORING ENDURANCE IS PROFILER,WHOI,CE07SHSP,CE07SHSP-00001,,,,
N00273,Platform,0,MOORING ENDURANCE IS PROFILER,WHOI,CE01SHSP,CE07SHSP-00002,,,,
N00274,Platform,0,MOORING ENDURANCE PROFILER,WHOI,CE09OPSM,CE09OSPM-00004,,,,
N00275,Platform,0,MOORING ENDURANCE OS SURFACE,WHOI,CE09OSSM,CE09OSSM-00002,,,,
N00276,Node,1,OPEN OCEAN GLIDER 1000M,TELEDYNE,ASSY 4495,561,,20150831,9180,
N00277,Platform,1,CP05MOAS Glider Master Platform,,CP05MOAS,CP05MOAS,,,,
N00278,Platform,1,GA05MOAS Glider Master Platform,,GA05MOAS,GA05MOAS,,,,
N00279,Platform,1,GI05MOAS Glider Master Platform,,GI05MOAS,GI05MOAS,,,,
N00280,Platform,1,GP05MOAS Glider Master Platform,,GP05MOAS,GP05MOAS,,,,
N00281,Platform,0,MOORING ENDURANCE OS,WHOI,CE04OSBP-LJ01C,SN0008,,,,
N00282,Platform,1,GS05MOAS Glider Master Platform,,GS05MOAS,GS05MOAS,,,,
N00283,Platform,1,CE05MOAS Glider Master Platform,,CE05MOAS,CE05MOAS,,,,
N00284,Platform,0,MOORING ENDURANCE OS,WHOI,CE04OSBP-LV01C,SN0045,,,,
N00285,Platform,0,MOORING ENDURANCE OS,WHOI,CE02SHSP,CE02SHSP-00001,,,,
N00286,Platform,0,MOORING ENDURANCE OS,WHOI,CE02SHSP,CE02SHSP-00002,,,,
N00289,Platform,0,MOORING ENDURANCE OS,WHOI,CE02SHBP-MJ01C,SN0025,,,,
N00290,Array,0,CE Array Parent,,,,,,,
N00291,Array,0,CP Array Parent,,,,,,,
N00292,Array,0,GA Array Parent,,,,,,,
N00293,Array,0,GI Array Parent,,,,,,,
N00294,Array,0,GP Array Parent,,,,,,,
N00295,Array,0,GS Array Parent,,,,,,,
N00296,Array,0,RSN Array Parent,,,,,,,
N00298,Platform,0,MOORING RSN,,RS01SUM1-PN01B,,,,,
N00299,Platform,0,MOORING RSN,,RS01SUM2-MJ01B,SN0024,,,,
N00300,Sensor,1,ADCP for Glider 311,,,642931,,20121002,,
N00301,Sensor,1,FLORT for Glider 311,,,2760,,20121002,,
N00302,Sensor,1,CTDGV for Glider 311,,,9014,,20121002,,
N00303,Sensor,1,DOSTA for Glider 311,AANDERAA,4831,26,,20121002,,
N00304,Sensor,1,PARAD for Glider 311,,,50145,,20121002,,
N00305,Sensor,1,ADCP for Glider 312,,,642932,,20121002,,
N00306,Sensor,1,FLORT for Glider 312,,,2761,,20121002,,
N00307,Sensor,1,CTDGV for Glider 312,,,9015,,20121002,,
N00308,Sensor,1,DOSTA for Glider 312,AANDERAA,4831,27,,20121002,,
N00309,Sensor,1,PARAD for Glider 312,,,50146,,20121002,,
N00310,Sensor,1,ADCP for Glider 319,,,642443,,20121206,,
N00311,Sensor,1,FLORT for Glider 319,,,2762,,20121206,,
N00312,Sensor,1,CTDGV for Glider 319,,,9023,,20121206,,
N00313,Sensor,1,DOSTA for Glider 319 or 312,AANDERAA,4831,29,,20121206,,
N00314,Sensor,1,PARAD for Glider 319,,,50147,,20121206,,
N00315,Sensor,1,ADCP for Glider 320,,,643105,,20121206,,
N00316,Sensor,1,FLORT for Glider 320,,,2786,,20121206,,
N00317,Sensor,1,CTDGV for Glider 320,,,9024,,20121206,,
N00318,Sensor,1,DOSTA for Glider 320,AANDERAA,4831,19,,20121206,,
N00319,Sensor,1,PARAD for Glider 320,,,50148,,20121206,,
N00320,Sensor,1,ADCP for Glider 326,,,643473,,20121228,,
N00321,Sensor,1,FLORT for Glider 326,,,2806,,20121228,,
N00322,Sensor,1,CTDGV for Glider 326,,,9026,,20121228,,
N00323,Sensor,1,DOSTA for Glider 326,AANDERAA,4831,30,,20121228,,
N00324,Sensor,1,PARAD for Glider 326,,,50149,,20121228,,
N00325,Sensor,1,ADCP for Glider 327,,,643474,,20121228,,
N00326,Sensor,1,FLORT for Glider 327,,,2807,,20121228,,
N00327,Sensor,1,CTDGV for Glider 327,,,9027,,20121228,,
N00328,Sensor,1,DOSTA for Glider 327,AANDERAA,4831,100,,20121228,,
N00329,Sensor,1,PARAD for Glider 327,,,50150,,20121228,,
N00330,Sensor,1,ADCP for Glider 381,,,649697,,20130806,,
N00331,Sensor,1,FLORT for Glider 381,,,3131,,20130806,,
N00332,Sensor,1,CTDGV for Glider 381,,,9056,,20130806,,
N00333,Sensor,1,DOSTA for Glider 381,AANDERAA,4831,190,,20130806,,
N00334,Sensor,1,PARAD for Glider 381,,,50160,,20130806,,
N00335,Sensor,1,ADCP for Glider 382,,,648292,,20130806,,
N00336,Sensor,1,FLORT for Glider 382,,,3185,,20130806,,
N00337,Sensor,1,CTDGV for Glider 382,,,9059,,20130806,,
N00338,Sensor,1,DOSTA for Glider 382,AANDERAA,4831,191,,20130806,,
N00339,Sensor,1,PARAD for Glider 382,,,50161,,20130806,,
N00340,Sensor,1,ADCP for Glider 383,,,650865,,20130826,,
N00341,Sensor,1,FLORT for Glider 383,,,3188,,20130826,,
N00342,Sensor,1,CTDGV for Glider 383,,,9060,,20130826,,
N00343,Sensor,1,DOSTA for Glider 383,AANDERAA,4831,194,,20130826,,
N00344,Sensor,1,PARAD for Glider 383,,,50162,,20130826,,
N00345,Sensor,1,ADCP for Glider 384,,,650864,,20110628,,
N00346,Sensor,1,FLORT for Glider 384,,,3189,,20110628,,
N00347,Sensor,1,CTDGV for Glider 384,,,9085,,20110628,,
N00348,Sensor,1,DOSTA for Glider 384,AANDERAA,4831,195,,20110628,,
N00349,Sensor,1,PARAD for Glider 384,,,50163,,20110628,,
N00350,Sensor,1,ADCP for Glider 386,,,652696,,20131011,,
N00351,Sensor,1,FLORT for Glider 386,,,3186,,20131011,,
N00352,Sensor,1,CTDGV for Glider 386,,,9086,,20131011,,
N00353,Sensor,1,DOSTA for Glider 386,AANDERAA,4831,176,,20131011,,
N00354,Sensor,1,PARAD for Glider 386,,,50164,,20131011,,
N00356,Platform,0,MOORING RSN,,RS03ASHS-ID03A,RS03ASHS-ID03A-00001,,,,
N00357,Platform,0,MOORING RSN,,RS03ASPI-PN03B,SN003A,,,,
N00401,Sensor,1,FLORT for Glider 494,,,3554,,20141120,171195,
N00402,Sensor,1,CTDGV for Glider 494,,,9214,,20141120,171195,
N00403,Sensor,1,DOSTA for Glider 494,AANDERAA,4831,348,,20141120,171195,
N00404,Sensor,1,PARAD for Glider 319,,,50203,,20121206,,
N00405,Sensor,1,FLORT for Glider 319,,,3921,,20121206,,
N00407,Sensor,1,FLORT for Glider 493,,,3553,,20141120,,
N00408,Sensor,1,CTDGV for Glider 493,,,9211,,20141120,,
N00409,Sensor,1,DOSTA for Glider 493,AANDERAA,4831,347,,20141120,,
N00410,Sensor,1,FLORD for Glider 496,,,3577,,20141212,,
N00411,Sensor,1,CTDGV for Glider 496,,,9207,,20141212,,
N00412,Sensor,1,DOSTA for Glider 496,AANDERAA,4831,337,,20141212,,
N00413,Sensor,0,VELPT SERIES A (AQUADOPP 400M),NORTEK,AQUADOPP 400M,AQD 11398,,20130917,8500,
N00414,Sensor,0,VELPT SERIES A (AQUADOPP 400M),NORTEK,AQUADOPP 400M,AQD 11380,,20130917,8500,
N00416,Sensor,0,ADCP SERIES M (WHS600-500),TELEDYNE RDI,WHS600-500,21524,,20140506,25569,
N00417,Sensor,0,"Camera, Uncabled",Kongsberg Underwater Technology Inc,0484-6102,113,,20140918,92768,
N00418,Sensor,0,VELPT SERIES A (AQUADOPP 400M),NORTEK,AQUADOPP 400M,AQD 11405,,20130917,8500,
N00419,Sensor,0,"Camera, Uncabled",Kongsberg Underwater Technology Inc,0484-6102,109,,20140802,92768,
N00420,Sensor,0,CTDBP SERIES C (C-16PLUSV2),SEA-BIRD ELECTRONICS,C-16PLUSV2,16-50014,,20140224,11500,
N00421,Sensor,0,VELPT SERIES A (AQUADOPP 400M),NORTEK,AQUADOPP 400M,AQD 11768,,20130917,8500,
N00500,Sensor,0,CTDMO SERIES R (37IM),SEA-BIRD ELECTRONICS,SBE-37IM,37-12569,,20141014,6775,
N00501,Sensor,0,PHSEN SERIES F (SAMI-PH),Sunburst Sensors,SAMI-PH,P0141,,20140722,18128.95,
N00502,Sensor,0,PHSEN SERIES F (SAMI-PH),Sunburst Sensors,SAMI-PH,P0142,,20140711,18128.95,
N00503,Sensor,0,VELPT SERIES A (AQUADOPP 300M),NORTEK,AQUADOPP 300M,AQD 12198,,20150604,8650,
N00504,Sensor,0,DOSTA SERIES D,AANDERAA,4831,457,,20150320,5092.2,
N00505,Sensor,0,DOSTA SERIES D,AANDERAA,4831,456,,20150320,5092.2,
N00506,Sensor,0,ADCP,,,13992,,,,
N00507,Sensor,0,Aquadopp,Nortek USA,AQUADOPP,AQD 11669,,,9240,
N00508,Sensor,0,Aquadopp,Nortek USA,AQUADOPP,AQD 11964,,,9240,
N00509,Sensor,0,Aquadopp,Nortek USA,AQUADOPP,AQD 11967,,,9240,
N00510,Sensor,0,Aquadopp,Nortek USA,AQUADOPP,AQD 11970,,,9240,
N00511,Sensor,0,Aquadopp,Nortek USA,AQUADOPP,AQD 12195,,,9240,
N00512,Sensor,0,Aquadopp,Nortek USA,AQUADOPP,AQD 12236,,,9240,
N00513,Sensor,0,Aquadopp,Nortek USA,AQUADOPP,AQD 12663,,,9240,
N00514,Sensor,0,Aquadopp,Nortek USA,AQUADOPP,AQD 12673,,,9240,
N00515,Sensor,0,CAMDS,,,0484-6102-0110,,,,
N00516,Sensor,0,Aquadopp,Nortek USA,AQUADOPP,AQD 11973,,,9240,
N00517,Sensor,0,Aquadopp,Nortek USA,AQUADOPP,AQD 11974,,,9240,
N00518,Sensor,0,Aquadopp,Nortek USA,AQUADOPP,AQD 11976,,,9240,
N00519,Sensor,0,Aquadopp,Nortek USA,AQUADOPP,AQD 11981,,,9240,
N00520,Sensor,0,Aquadopp,Nortek USA,AQUADOPP,AQD 12652,,,9240,
N00521,Sensor,0,Aquadopp,Nortek USA,AQUADOPP,AQD 12095,,,9240,
N00522,Sensor,0,Aquadopp,Nortek USA,AQUADOPP,AQD 12459,,,9240,
N00523,Sensor,0,Aquadopp,Nortek USA,AQUADOPP,AQD 12197,,,9240,
N00524,Sensor,0,PHSEN (SERIES E),SUNBURST,SAMI-2,P0171,,,19510.5,
N00525,Sensor,1,CTDGV for Glider 469,,,9172,,20140804,,
N00526,Sensor,1,DOSTA for Glider 469,AANDERAA,4831,341,,20140804,,
N00527,Sensor,1,FLORD for Glider 469,,,3528,,20140804,,
N00528,Sensor,1,CTDGV for Glider 484,,,9195,,20140813,,
N00529,Sensor,1,DOSTA for Glider 484,AANDERAA,4831,324,,20140813,,
N00530,Sensor,1,FLORD for Glider 484,,,FLBBSLC-3550,,20140813,,
N00531,Sensor,1,CTDGV for Glider 477,,,9175,,20140804,171901.09,
N00532,Sensor,1,DOSTA for Glider 477,AANDERAA,4831,338,,20140804,171901.09,
N00533,Sensor,1,FLORD for Glider 477,,,FLBBSLC-3552,,20140804,171901.09,
N00534,Sensor,1,CTDGV for Glider 485,,,9196,,20140813,,
N00535,Sensor,1,DOSTA for Glider 485,AANDERAA,4831,322,,20140813,,
N00536,Sensor,1,FLORD for Glider 485,,,FLBBCDSLC-3549,,20140813,,
N00537,Sensor,1,CTDGV for Glider 478,,,9173,,20140804,,
N00538,Sensor,1,DOSTA for Glider 478,AANDERAA,4831,339,,20140804,,
N00539,Sensor,1,FLORD for Glider 478,,,FLBBCDSLC-3540,,20140804,,
N00540,Sensor,1,CTDGV for Glider 495,,,9209,,20141120,171195,
N00541,Sensor,1,DOSTA for Glider 495,AANDERAA,4831,325,,20141120,171195,
N00542,Sensor,1,FLORD for Glider 495,,,FLBBCDSLC-3578,,20141120,171195,
N00543,Sensor,1,CTDGV for Glider 528,,,9258,,20150803,,
N00544,Sensor,1,DOSTA for Glider 528,AANDERAA,4831,401,,20150803,,
N00545,Sensor,1,NUTNR for Glider 528,,,350,,20150803,,
N00546,Sensor,1,FLORT for Glider 528,,,3777,,20150803,,
N00548,Sensor,1,PARAD for Glider 528,,,50193,,20150803,,
N00549,Sensor,0,DOSTA SERIES D,AANDERAA,4831,507,,,5092.2,
N00550,Sensor,0,DOSTA SERIES D,AANDERAA,4831,508,,,5092.2,
N00551,Sensor,0,VELPT SERIES A,NORTEK,AQUADOPP 300M,AQD 12747,,,9180,
N00552,Sensor,0,PCO2A SERIES A(PCO2ATM-50A),PRO-OCEANUS,PCO2ATM-50A,34-261-50A,,,28732,
N00553,Sensor,0,DOSTA SERIES D,AANDERAA,4831,503,,,5092.2,
N00554,Sensor,0,DOSTA SERIES D,AANDERAA,4831,512,,,5092.2,
N00555,Sensor,0,VELPT SERIES A,NORTEK,AQUADOPP 300M,AQD 12711,,20150831,9180,
N00556,Sensor,0,DOSTA for WLP-005,AANDERAA,4831,351,,20140801,5258.25,
N00557,Sensor,0,OPTAA for WLP-005,Wet Labs,AC-S,ACS-181,,20140801,38969.75,
N00558,Sensor,0,VELPT for WLP-005,Nortek USA,AQUADOPP,AQD 11915,,20140801,9240,
N00559,Sensor,0,NUTNR for WLP-005,SATLANTIC,ISUS,428,,20140801,38790.36,
N00560,Sensor,0,SPKIR for WLP-005,SATLANTIC,OCR507-ICSW,265,,20140801,13316.36,
N00561,Sensor,0,FLORT for WLP-005,Wet Labs,ECO TRIPLET,1205,,20140801,13013.52,
N00562,Sensor,0,CTDPF for WLP-005,SEA-BIRD ELECTRONICS,,49-0347,,20140801,7000,
N00563,Sensor,0,PARAD for WLP-005,,,437,,20140801,,
N00564,Sensor,0,DOSTA for WLP-004,AANDERAA,4831,350,,20140801,5258.25,
N00565,Sensor,0,OPTAA for WLP-004,Wet Labs,AC-S,ACS-145,,20140801,38969.75,
N00566,Sensor,0,VELPT for WLP-004,Nortek USA,AQUADOPP,AQD 11916,,20140801,9240,
N00567,Sensor,0,NUTNR for WLP-004,SATLANTIC,ISUS,427,,20140801,38790.36,
N00568,Sensor,0,SPKIR for WLP-004,SATLANTIC,OCR507-ICSW,263,,20140801,13316.36,
N00569,Sensor,0,FLORT for WLP-004,Wet Labs,ECO TRIPLET,1208,,20140801,13013.52,
N00570,Sensor,0,CTDPF for WLP-004,SEA-BIRD ELECTRONICS,,49-0348,,20140801,7000,
N00571,Sensor,0,PARAD for WLP-004,,,407,,20140801,,
N00572,Sensor,0,DOSTA for WLP-003,AANDERAA,4831,353,,20140616,5258.25,
N00573,Sensor,0,OPTAA for WLP-003,Wet Labs,AC-S,ACS-138,,20140616,38969.75,
N00574,Sensor,0,VELPT for WLP-003,Nortek USA,AQUADOPP,AQD 11900,,20140616,9240,
N00575,Sensor,0,NUTNR for WLP-003,SATLANTIC,ISUS,426,,20140616,38790.36,
N00576,Sensor,0,SPKIR for WLP-003,SATLANTIC,OCR507-ICSW,266,,20140616,13316.36,
N00577,Sensor,0,FLORT for WLP-003,Wet Labs,ECO TRIPLET,1207,,20140616,13013.52,
N00578,Sensor,0,CTDPF for WLP-003,SEA-BIRD ELECTRONICS,,49-0346,,20140616,7000,
N00579,Sensor,0,PARAD for WLP-003,,,411,,20140616,,
N00580,Sensor,0,DOSTA for WLP-002,AANDERAA,4831,351,,20140630,5258.25,
N00581,Sensor,0,OPTAA for WLP-002,Wet Labs,AC-S,ACS-139,,20140630,38969.75,
N00582,Sensor,0,VELPT for WLP-002,Nortek USA,AQUADOPP,AQD 11912,,20140630,9240,
N00583,Sensor,0,NUTNR for WLP-002,SATLANTIC,ISUS,425,,20140630,38790.36,
N00584,Sensor,0,SPKIR for WLP-002,SATLANTIC,OCR507-ICSW,264,,20140630,13316.36,
N00585,Sensor,0,FLORT for WLP-002,Wet Labs,ECO TRIPLET,1206,,20140630,13013.52,
N00586,Sensor,0,CTDPF for WLP-002,SEA-BIRD ELECTRONICS,,49-349,,20140630,7000,
N00587,Sensor,0,PARAD for WLP-002,,,434,,20140630,,
N00588,Sensor,0,DOSTA for WLP-001,AANDERAA,4831,209,,20130630,5258.25,
N00589,Sensor,0,OPTAA for WLP-001,Wet Labs,AC-S,ACS-137,,20130630,38969.75,
N00590,Sensor,0,VELPT for WLP-001,Nortek USA,AQUADOPP,AQD 11259,,20130630,9240,
N00591,Sensor,0,NUTNR for WLP-001,SATLANTIC,ISUS,337,,20130630,38790.36,
N00592,Sensor,0,SPKIR for WLP-001,SATLANTIC,OCR507-ICSW,237,,20130630,13316.36,
N00593,Sensor,0,FLORT for WLP-001,Wet Labs,ECO TRIPLET,BBFL2W-1084,,20130630,13013.52,
N00594,Sensor,0,CTDPF for WLP-001,SEA-BIRD ELECTRONICS,,4974683-0308,,20130630,7000,
N00595,Sensor,0,PARAD for WLP-001,,,365,,20130630,,
N00596,Sensor,0,DOSTA for WLP-006,AANDERAA,4831,,,20140929,5258.25,
N00597,Sensor,0,OPTAA for WLP-006,Wet Labs,AC-S,,,20140929,38969.75,
N00598,Sensor,0,VELPT for WLP-006,Nortek USA,AQUADOPP,,,20140929,9240,
N00599,Sensor,0,NUTNR for WLP-006,SATLANTIC,ISUS,,,20140929,38790.36,
N00600,Sensor,0,SPKIR for WLP-006,SATLANTIC,OCR507-ICSW,,,20140929,13316.36,
N00601,Sensor,0,FLORT for WLP-006,Wet Labs,ECO TRIPLET,,,20140929,13013.52,
N00602,Sensor,0,CTDPF for WLP-006,SEA-BIRD ELECTRONICS,,,,20140929,7000,
N00603,Sensor,0,PARAD for WLP-006,,,,,20140929,,
N00604,Sensor,0,FLORD for ML12936-02,Wet Labs,ECO TRIPLET,2736,,20130320,,
N00605,Sensor,0,DOSTA for ML12936-02,AANDERAA,4831,1086,,20130320,,
N00606,Sensor,0,CTDPF for ML12936-02,SEA-BIRD ELECTRONICS,,107,,20130320,,
N00607,Sensor,0,VEL3D for ML12936-02,,,1024,,20130320,,
N00608,Sensor,0,FLORD for ML13104-02,Wet Labs,ECO TRIPLET,3283,,20140115,,
N00609,Sensor,0,DOSTA for ML13104-02,AANDERAA,4831,1480,,20140115,,
N00610,Sensor,0,CTDPF for ML13104-02,SEA-BIRD ELECTRONICS,,134,,20140115,,
N00611,Sensor,0,VEL3D for ML13104-02,,,A13551,,20140115,,
N00612,Sensor,0,FLORD for ML12997-01,Wet Labs,ECO TRIPLET,2934,,20130320,,
N00613,Sensor,0,DOSTA for ML12997-01,AANDERAA,4831,1105,,20130320,,
N00614,Sensor,0,CTDPF for ML12997-01,SEA-BIRD ELECTRONICS,,115,,20130320,,
N00615,Sensor,0,VEL3D for ML12997-01,,,1026,,20130320,,
N00616,Sensor,0,FLORD for ML13104-03,Wet Labs,ECO TRIPLET,3284,,20140115,,
N00617,Sensor,0,DOSTA for ML13104-03,AANDERAA,4831,1478,,20140115,,
N00618,Sensor,0,CTDPF for ML13104-03,SEA-BIRD ELECTRONICS,,132,,20140115,,
N00619,Sensor,0,VEL3D for ML13104-03,,,1115,,20140115,,
N00620,Sensor,1,CTDGVM for Glider 276,,,104,,20120525,,
N00621,Sensor,1,DOSTAM for Glider 276,AANDERAA,4831,12,,20120525,,
N00622,Sensor,1,FLORDM for Glider 276,,,FLBBCDSLC-3260,,20120525,,
N00623,Sensor,1,CTDGVM for Glider 361,,,9058,,20130530,,
N00624,Sensor,1,DOSTAM for Glider 361,AANDERAA,4831,139,,20130530,,
N00625,Sensor,1,FLORDM for Glider 361,,,FLBBSLC-3061,,20130530,,
N00626,Sensor,1,CTDGVM for Glider 362,,,9064,,20130530,,
N00627,Sensor,1,DOSTAM for Glider 362,AANDERAA,4831,159,,20130530,,
N00628,Sensor,1,FLORDM for Glider 362,,,FLBBSLC-3064,,20130530,,
N00629,Sensor,1,CTDGVM for Glider 363,,,9065,,20130530,,
N00630,Sensor,1,DOSTAM for Glider 363,AANDERAA,4831,161,,20130530,,
N00631,Sensor,1,FLORDM for Glider 363,,,FLBBSLC-3063,,20130530,,
N00632,Sensor,1,CTDGVM for Glider 364,,,9066,,20130530,,
N00633,Sensor,1,DOSTAM for Glider 364,AANDERAA,4831,168,,20130530,,
N00634,Sensor,1,FLORDM for Glider 364,,,FLBBSLC-3123,,20130530,,
N00635,Sensor,1,CTDGVM for Glider 365,,,9061,,20130530,,
N00636,Sensor,1,DOSTAM for Glider 365,AANDERAA,4831,169,,20130530,,
N00637,Sensor,1,FLORDM for Glider 365,,,FLBBSLC-3124,,20130530,,
N00638,Sensor,1,CTDGVM for Glider 453,,,9158,,20140422,,
N00639,Sensor,1,DOSTAM for Glider 453,AANDERAA,4831,281,,20140422,,
N00640,Sensor,1,FLORDM for Glider 453,,,FLBBSLC-3527,,20140422,,
N00641,Sensor,1,CTDGVM for Glider 523,,,9235,,20150316,171195,
N00642,Sensor,1,DOSTAM for Glider 523,AANDERAA,4831,362,,20150316,171195,
N00643,Sensor,1,FLORDM for Glider 523,,,FLBBSLC-3580,,20150316,171195,
N00644,Sensor,1,CTDGVM for Glider 525,,,9232,,20150326,,
N00645,Sensor,1,DOSTAM for Glider 525,AANDERAA,4831,364,,20150326,,
N00646,Sensor,1,FLORDM for Glider 525,,,FLBBSLC-3579,,20150326,,
N00647,Sensor,1,CTDGVM for Glider 537,,,9237,,20150522,,
N00648,Sensor,1,DOSTAM for Glider 537,AANDERAA,4831,400,,20150522,,
N00649,Sensor,1,FLORDM for Glider 537,,,FLBBSLC-3582,,20150522,,
N00650,Sensor,1,CTDGVM for Glider 514,,,9230,,20141223,,
N00651,Sensor,1,DOSTAM for Glider 514,AANDERAA,4831,361,,20141223,,
N00652,Sensor,1,NUTNRM for Glider 514,,,357,,20141223,,
N00653,Sensor,1,CTDGVM for Glider 515,,,9231,,20141223,,
N00654,Sensor,1,FLORTM for Glider 515,,,3501,,20141223,,
N00655,Sensor,1,PARADM for Glider 515,,,50185,,20141223,,
N00656,Sensor,0,FLORD for WFP Coastal ML13104-05,,,3281,,20140402,,
N00657,Sensor,0,DOSTA for WFP Coastal ML13104-05,AANDERAA,4831,1477,,20140402,,
N00658,Sensor,0,CTD for WFP Coastal ML13104-05,,,133,,20140402,,
N00659,Sensor,0,VEL3D for WFP Coastal ML13104-05,,,1116,,20140402,,
N00660,Sensor,0,FLORD for WFP Coastal ML13104-07,,,3282,,20140925,,
N00661,Sensor,0,DOSTA for WFP Coastal ML13104-07,AANDERAA,4831,1479,,20140925,,
N00662,Sensor,0,CTD for WFP Coastal ML13104-07,,,130,,20140925,,
N00663,Sensor,0,VEL3D for WFP Coastal ML13104-07,,,1118,,20140925,,
N00664,Sensor,1,FLORDM for Glider 486,,,3551,,20140825,,
N00665,Sensor,1,DOSTAM for Glider 486,AANDERAA,4831,323,,20140825,,
N00666,Sensor,1,CTDGVM for Glider 486,,,9174,,20140825,,
N00667,Sensor,0,PCO2W SERIES B (SAMI CO2),SUNBURST,SAMI-CO2,C0126,,20150810,28732,
N00668,Sensor,1,ADCP for Glider 247,,,642931,,20111007,,
N00669,Sensor,1,CTDGV for Glider 247,,,9014,,20111007,,
N00670,Sensor,1,DOSTA for Glider 247,AANDERAA,4831,26,,20111007,,
N00671,Sensor,1,FLORT for Glider 247,,,2760,,20111007,,
N00672,Sensor,1,PARAD for Glider 247,,,50145,,20111007,,
N00673,Sensor,0,OPTAA SERIES D,WET LABS,AC-S,ACS-259,,,40133.75,
N00674,Sensor,0,PRESF SERIES B (26PLUS),SEA-BIRD ELECTRONICS,SBE-26 PLUS,26P-1391,,,14300,
N00675,Sensor,0,ZPLSG SERIES A,ASL ENVIRONMENTAL,AZFP5,55097,,,92685,
N00676,Sensor,0,PCO2A SERIES A(PCO2ATM-50A),PRO-OCEANUS,PCOTATM-50A,34-222-50A,,,28732,
N00677,Sensor,0,CAMDS,,,0484-6102-0113,,,,
N00678,Sensor,0,OPTAA SERIES D,WET LABS,AC-S,ACS-260,,,40133.74,
N00679,Sensor,0,CAMDS,,,0484-6102-0111,,,,
N00680,Sensor,0,PRESF SERIES B (26PLUS),SEA-BIRD ELECTRONICS,SBE-26 PLUS,26P-1396,,,14300,
N00681,Sensor,0,ZPLSG SERIES A,ASL ENVIRONMENTAL,AZFP5,55098,,,92685,
N00682,Sensor,0,CAMDS,,,0484-6102-0109,,,,
N00683,Sensor,0,PRESF SERIES B (26PLUS),SEA-BIRD ELECTRONICS,SBE-26 PLUS,26P-1398,,,14300,
N00684,Sensor,0,PHSEN SERIES D (SAMI-PH),Sunburst Sensors,SAMI-PH,P0131,,20140425,18003.4,
N00685,Sensor,0,Shallow 16 Plus V2 CTD,SEA-BIRD ELECTRONICS,16plusV2 (600m),16-50019,,20150511,13535,
N00686,Sensor,0,NUTNR,SATLANTIC,ISUS,344,,20140924,38790.36,
N00687,Sensor,0,Wetlabs FLCDRTD with Impulse MCBH(WB)-6-MP-Ti connector,Wet Labs,FLCDRTD,3400/TAG#:116120,,20140128,6665,
N00688,Sensor,0,Underwater Digital Still Camera (CAMDS) (O&M),Kongsberg Underwater Technology Inc,Custom,104,,20131101,25000,
N00689,Sensor,0,"Passive Bioacoustics, HYDBB-B",Ocean Sonics,icListen SB35-ETH,1250,,20130321,13943.62,
N00690,Sensor,0,ECO-triplet-w (3-wavelength fluorometer w/ wiper) (FLOR-D),Wet Labs,ECO-triplet-w,5156,,20121219,12634.25,
N00691,Sensor,0,Underwater Digital Still Camera (CAMDS),Kongsberg Underwater Technology Inc,Custom,105,,20140709,34185,
N00692,Sensor,0,"Passive Bioacoustics, HYDBB-B",Ocean Sonics,icListen SB35-ETH,1249,,20130321,13943.61,
